"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Whole seawater]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Filtration]"	"Term Source REF"	"Term Accession Number"
"DilExp_1"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_1"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"30 kDa"	""	""
"DilExp_2"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"30 kDa"	""	""
"DilExp_3"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_3"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"30 kDa"	""	""
"DilExp_4"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_4"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"30 kDa"	""	""
"DilExp_5"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_5"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"30 kDa"	""	""
"DilExp_6"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_6"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"30 kDa"	""	""
"DilExp_7"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_7"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"none"	""	""
"DilExp_8"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_8"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"none"	""	""
"DilExp_9"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_9"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"none"	""	""
"DilExp_10"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_10"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.2 µm"	""	""
"DilExp_11"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_11"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.2 µm"	""	""
"DilExp_12"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_12"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.2 µm"	""	""
"DilExp_13"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_13"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.2 µm"	""	""
"DilExp_14"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_14"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.2 µm"	""	""
"DilExp_15"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"DilExp_15"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.2 µm"	""	""
