"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T2_1"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T2_2"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T2_3"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T2_4"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T2_5"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T2_6"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T4_1"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T4_2"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T4_3"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T4_4"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T4_5"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"AZ1_T4_6"	"AZ1_CAZ"	""	""	"1-[3-fluoro-4-(5-methyl-2,4-dioxo-pyrimidin-1-yl)phenyl]-3-[2-(trifluoromethyl)phenyl]urea 0.5 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T2_1"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T2_2"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T2_3"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T2_4"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T2_5"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T2_6"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T4_1"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T4_2"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T4_3"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T4_4"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T4_5"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"CAZ_T4_6"	"AZ1_CAZ"	""	""	"Ceftazidime 1 ug/ml"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T0_1"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T0_3"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T0_5"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T0_7"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T0_12"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T0_14"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"6"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T2_1"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T2_2"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T2_3"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T4_1"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T4_2"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"NDR_T4_3"	"AZ1_CAZ"	""	""	"No_drug"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"IV_STDS"	"AZ1_CAZ"	""	""	"Drug only"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ISD_NEG"	"AZ1_CAZ"	""	""	"Fragmentation"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ISD_POS"	"AZ1_CAZ"	""	""	"Fragmentation"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"pooled7"	"AZ1_CAZ"	""	""	"Pooled"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"pooled8"	"AZ1_CAZ"	""	""	"Pooled"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"pooled9"	"AZ1_CAZ"	""	""	"Pooled"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"POOLED10"	"AZ1_CAZ"	""	""	"Pooled"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"AZ1_CAZ"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. K12 substr. W3110 DELTAtolC||Tn10"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"POOLED11"	"AZ1_CAZ"	""	""	"Pooled"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"5"	""	""
