"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Alkane_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Alkane_2"	"Alkane_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont13_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont13_1"	"Cont13_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont14_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont14_1"	"Cont14_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont16_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont16_1"	"Cont16_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont17_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont17_1"	"Cont17_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont18_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont18_1"	"Cont18_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_01_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_01_1"	"Cont_01_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_02_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_02_1"	"Cont_02_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_03_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_03_1"	"Cont_03_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_04_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_04_1"	"Cont_04_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_05_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_05_1"	"Cont_05_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_06_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_06_1"	"Cont_06_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_07_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_07_1"	"Cont_07_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Cont_08_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"CTC Analytics Combi PAL autosampler"	""	""	"Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"LECO Pegasus IV"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Cont_08_1"	"Cont_08_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gc0003_metabolite profiling_mass spectrometry_v2_maf.tsv"
