"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SP_1"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"1"	"10.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_2"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"2"	"20.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_3"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"3"	"30.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_4"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"4"	"40.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_5"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"5"	"50.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_6"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"6"	"60.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_7"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"7"	"70.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_8"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"8"	"80.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_9"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"9"	"90.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
"SP_10"	"Extraction"	"N/A"	"N/A"	"NMR sample"	""	""	""	"0.142 M phosphate buffered D2O/H2O"	""	""	"7.4"	"310"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	""	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PABBI 1H/D-BB Z-GRD"	""	""	"32"	"1D NOESY with presaturation (noesypr1d)"	"14.1"	"tesla"	"UO"	""	"acqus1.txt"	"NMR assay"	"10"	"100.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls470_NOESY_NMR_spectroscopy_v2_maf.tsv"
