"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Control_Aq"	"Aqueous wash MS1"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Control_Org"	"Organic wash MS1"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Meta_Aq"	"Aqueous wash MS1"	""	""	"Metarhizium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5529"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Meta_Aq_600-1550"	"Aqueous wash MS1"	""	""	"Metarhizium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5529"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Meta_Aq_MSMS"	"Aqueous wash MS2"	""	""	"Metarhizium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5529"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Meta_Org"	"Organic wash MS1"	""	""	"Metarhizium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5529"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_Meta_Org_MSMS"	"Organic wash MS2"	""	""	"Metarhizium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5529"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_SG-Sealed_Aq"	"Aqueous wash MS1"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_SG-Sealed_Aq_MSMS"	"Aqueous wash MS2"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"040815_SG-Sealed_Org"	"Organic wash MS1"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
