"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Meal]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Person]"	"Term Source REF"	"Term Accession Number"
"A_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_EX_T0"	"T0"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"A"	""	""
"A_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_JU_T0"	"T0"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"A_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"A"	""	""
"B_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_EX_T0"	"T0"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"B"	""	""
"B_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_JU_T0"	"T0"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"B"	""	""
