"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Control_I"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"Control_I"	"1"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Control_II"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"Control_II"	"2"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Control_III"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"Control_III"	"3"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"15min_I"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"15min_I"	"1"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"15min_II"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"15min_II"	"2"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"15min_III"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"15min_III"	"3"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"30min_I"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"30min_I"	"1"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"30min_II"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"30min_II"	"2"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"30min_III"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"30min_III"	"3"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"70min_I"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"70min_I"	"1"	""	""	"70"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"70min_II"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"70min_II"	"2"	""	""	"70"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"70min_III"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"70min_III"	"3"	""	""	"70"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"16h_I"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"16h_I"	"1"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"16h_II"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"16h_II"	"2"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"16h_III"	"Rattus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10114"	"cardiomyocyte cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003324"	"Sample collection"	"16h_III"	"3"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
