"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"
"1979546"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1979546"	"TimePoint 1"	""	""
"1979551"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1979551"	"TimePoint 1"	""	""
"1979556"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1979556"	"TimePoint 1"	""	""
"1979561"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1979561"	"TimePoint 1"	""	""
"1979579"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1979579"	"TimePoint 1"	""	""
"1981023"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1981023"	"Daily Meta"	""	""
"1981028"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1981028"	"Daily Meta"	""	""
"1981033"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1981033"	"Daily Meta"	""	""
"1981038"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1981038"	"Daily Meta"	""	""
"1981043"	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1981043"	"Daily Meta"	""	""
