"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"nist"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"nist"
"nist2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"nist2"
"q3June2014"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"q3June2014"
"REe6"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"REe6"
"2119302"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119302"
"2119305"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119305"
"2119304"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119304"
"2119306"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119306"
"2119303"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119303"
"2167260"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2167260"
"2168469"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2168469"
"2168474"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2168474"
"2168479"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2168479"
"2168484"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2168484"
"2173473"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2173473"
"2173478"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2173478"
"2175899"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2175899"
