"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant development stage]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Species code]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exposition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Soil humidity]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light conditions]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Substrate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Fresh weight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample batch number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[LCMS date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Collection Season]"	"Term Source REF"	"Term Accession Number"
"Summer_Fistax_01"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Fistax_01"	"Fistax"	""	""	"W"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"14"	""	""	"1"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Fistax_02"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Fistax_02"	"Fistax"	""	""	"W"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"14.1"	""	""	"2"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Fistax_03"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Fistax_03"	"Fistax"	""	""	"W"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"17.4"	""	""	"3"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Polstr_01"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Polstr_01"	"Polstr"	""	""	"S"	""	""	"wet"	""	""	"sunny"	""	""	"Soil"	""	""	"86.8"	""	""	"4"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Polstr_02"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Polstr_02"	"Polstr"	""	""	"S"	""	""	"wet"	""	""	"sunny"	""	""	"Soil"	""	""	"94.8"	""	""	"5"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Polstr_03"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Polstr_03"	"Polstr"	""	""	"S"	""	""	"wet"	""	""	"sunny"	""	""	"Soil"	""	""	"89.1"	""	""	"6"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Hypcup_01"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Hypcup_01"	"Hypcup"	""	""	"S"	""	""	"dry"	""	""	"sunny"	""	""	"Rock"	""	""	"55.4"	""	""	"7"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Gripul_01"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Gripul_01"	"Gripul"	""	""	"S"	""	""	"dry"	""	""	"sunny"	""	""	"Rock"	""	""	"46.6"	""	""	"8"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Plaund_01"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Plaund_01"	"Plaund"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"51"	""	""	"9"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Plaund_02"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Plaund_02"	"Plaund"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"72.4"	""	""	"10"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Plaund_03"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Plaund_03"	"Plaund"	""	""	"SO"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"63.3"	""	""	"11"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Rhysqu_01"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Rhysqu_01"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"45.8"	""	""	"12"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Rhysqu_02"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Rhysqu_02"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"56.9"	""	""	"13"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Calcus_01"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Calcus_01"	"Calcus"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"67.4"	""	""	"14"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Calcus_02"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Calcus_02"	"Calcus"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"55.1"	""	""	"15"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Rhysqu_03"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Rhysqu_03"	"Rhysqu"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"42.7"	""	""	"16"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Calcus_03"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Calcus_03"	"Calcus"	""	""	"S"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"74.3"	""	""	"17"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Brarut_01"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Brarut_01"	"Brarut"	""	""	"S"	""	""	"fresh"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"51.5"	""	""	"18"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Brarut_02"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Brarut_02"	"Brarut"	""	""	"S"	""	""	"fresh"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"55.1"	""	""	"19"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Hypcup_02"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Hypcup_02"	"Hypcup"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"80.2"	""	""	"20"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Hypcup_03"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Hypcup_03"	"Hypcup"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"74"	""	""	"21"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Gripul_02"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Gripul_02"	"Gripul"	""	""	"N"	""	""	"dry"	""	""	"half-shade"	""	""	"Soil"	""	""	"75.5"	""	""	"22"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Gripul_03"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Gripul_03"	"Gripul"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Soil"	""	""	"64.4"	""	""	"23"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Brarut_03"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Brarut_03"	"Brarut"	""	""	"NW"	""	""	"dry"	""	""	"half-shade"	""	""	"Rock_lean_soil"	""	""	"86.5"	""	""	"24"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Marpol_01"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Marpol_01"	"Marpol"	""	""	"NW"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"147.3"	""	""	"25"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Marpol_02"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Marpol_02"	"Marpol"	""	""	"NW"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"129.6"	""	""	"26"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
"Summer_Marpol_03"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Summer_Marpol_03"	"Marpol"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"215.4"	""	""	"27"	""	""	"27/09/2016"	""	""	"08/08/2016"	""	""	"Summer"	""	""
