"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"XS_5-25_HILIC_15-104"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR1-15h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_15-104"	"XS_5-25_HILIC_15-104.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_15-204"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR2-15h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_15-204"	"XS_5-25_HILIC_15-204.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_15-304"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR3-15h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_15-304"	"XS_5-25_HILIC_15-304.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_15-404"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR4-15h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_15-404"	"XS_5-25_HILIC_15-404.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_20-104"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR1-20h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_20-104"	"XS_5-25_HILIC_20-104.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_20-204"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR2-20h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_20-204"	"XS_5-25_HILIC_20-204.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_20-304"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR3-20h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_20-304"	"XS_5-25_HILIC_20-304.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_20-404"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR4-20h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_20-404"	"XS_5-25_HILIC_20-404.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_25-104"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR1-25h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_25-104"	"XS_5-25_HILIC_25-104.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
"XS_5-25_HILIC_25-204"	"Extraction"	"500 µl acetonitrile/methanol, 70/30 (v/v)"	"none"	"BR2-25h"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC HILIC (1.6 µm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"XS_5-25_HILIC_25-204"	"XS_5-25_HILIC_25-204.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls525_HILIC_mass_spectrometry_v2_maf.tsv"
