"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_013_R1_15_TECHREP1_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_051_R1_15_TECHREP2_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_037_R2_15_TECHREP1_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_061_R2_15_TECHREP2_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_014_R3_15_TECHREP1_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_060_R3_15_TECHREP2_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_020_R4_15_TECHREP1_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_049_R4_15_TECHREP2_ESIN01"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_027_R1_20_TECHREP1_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_065_R1_20_TECHREP2_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_015_R2_20_TECHREP1_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_041_R2_20_TECHREP2_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_017_R3_20_TECHREP1_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_040_R3_20_TECHREP2_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_034_R4_20_TECHREP1_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_062_R4_20_TECHREP2_ESIN01"	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_010_R1_25_TECHREP1_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_044_R1_25_TECHREP2_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_023_R2_25_TECHREP1_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_056_R2_25_TECHREP2_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_033_R3_25_TECHREP1_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_055_R3_25_TECHREP2_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_035_R4_25_TECHREP1_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_042_R4_25_TECHREP2_ESIN01"	"25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_031_R1_30_TECHREP1_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_063_R1_30_TECHREP2_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_032_R2_30_TECHREP1_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_047_R2_30_TECHREP2_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_030_R3_30_TECHREP1_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_067_R3_30_TECHREP2_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_026_R4_30_TECHREP1_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_046_R4_30_TECHREP2_ESIN01"	"30"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_019_R1_35_TECHREP1_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_052_R1_35_TECHREP2_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_021_R2_35_TECHREP1_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_066_R2_35_TECHREP2_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_025_R3_35_TECHREP1_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_039_R3_35_TECHREP2_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_009_R4_35_TECHREP1_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_050_R4_35_TECHREP2_ESIN01"	"35"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_029_R1_NC_TECHREP1_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_043_R1_NC_TECHREP2_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_016_R2_NC_TECHREP1_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_054_R2_NC_TECHREP2_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_022_R3_NC_TECHREP1_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_057_R3_NC_TECHREP2_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_012_R4_NC_TECHREP1_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_064_R4_NC_TECHREP2_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_004_QC01_EquilCol_ESIN_01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_005_QC02_EquilCol_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_006_QC03_EquilCol_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_007_QC04_EquilCol_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_008_QC05_EQUILCOL_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_018_QC06_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_028_QC07_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_038_QC08_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_048_QC09_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_058_QC10_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_068_QC11_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_069_QC_DILUTION_1-2_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_070_QC_DILUTION_1-4_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Non-polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS-2015_08_7_071_QC_DILUTION_1-8_ESIN01"	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""
"Polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS_5-25_HILIC_15-104"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS_5-25_HILIC_15-204"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS_5-25_HILIC_15-304"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Polar analysis"	"Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"XS_5-25_HILIC_15-404"	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"4"	""	""
