"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Coronatine treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"7_1_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_1_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_1_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_1_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_2_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_2_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_2_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_2_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_3_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_3_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_3_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_3_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_4_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_4_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7_4_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_CON_4_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"2_1_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR0_1_1"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"2_1_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR0_1_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
