"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"NOR1"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A1_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR2"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A2_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR3"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A3_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR4"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A4_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR5"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A5_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR6"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A6_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR7"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A7_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR8"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A8_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR9"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A9_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
"NOR10"	"Extraction"	""	"other"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7693 Automatic Liquid Sampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1000"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"NOR"	"LI-fecal-A10_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls527_mass_spectrometry_v2_maf.tsv"
