"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[brain region]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-1"	"entorhinal cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0003117"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-2"	"entorhinal cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0003117"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-3"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-4"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-5"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-6"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-7"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-8"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-9"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-10"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-11"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-12"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-13"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-14"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-15"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-16"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-17"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-18"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-19"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-20"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-21"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-22"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-23"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"EC-24"	"entorhinal cortex"	"ADO"	"http://scai.fraunhofer.de/AlzheimerOntology#entorhinal_cortex"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-1"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-2"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-3"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-4"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-5"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-6"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-7"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE4/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-9"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-10"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-11"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-12"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-13"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-14"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-15"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-16"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/4"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-17"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-18"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-19"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-20"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-21"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-22"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-23"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
"ApoE metabolomics expt"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"PVC-24"	"primary visual cortex"	"MA"	"http://purl.obolibrary.org/obo/MA_0000914"	"APOE3/3"	""	""
