"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Hormone treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control_1"	"None"	""	""	"1"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control_2"	"None"	""	""	"2"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control_3"	"None"	""	""	"3"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control_4"	"None"	""	""	"4"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_1"	"abscisic acid"	""	""	"1"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_2"	"abscisic acid"	""	""	"2"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_3"	"abscisic acid"	""	""	"3"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_4"	"abscisic acid"	""	""	"4"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ethylene_1"	"ethylene"	""	""	"1"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ethylene_2"	"ethylene"	""	""	"2"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ethylene_3"	"ethylene"	""	""	"3"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ethylene_4"	"ethylene"	""	""	"4"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_ethylene_1"	"abscisic acid + ethylene "	""	""	"1"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_ethylene_2"	"abscisic acid + ethylene "	""	""	"2"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_ethylene_3"	"abscisic acid + ethylene "	""	""	"3"	""	""
"Soybean leaf"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. Daewon"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"ABA_ethylene_4"	"abscisic acid + ethylene "	""	""	"4"	""	""
