"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMP_B1_118"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B1_118"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B1_118"	"SAMP_B1_118.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B2_114"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B2_114"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B2_114"	"SAMP_B1_107.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B3_112"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B3_112"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B3_112"	"SAMP_B1_098.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B4_111"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B4_111"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B4_111"	"SAMP_B1_085.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B5_117"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B5_117"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B5_117"	"SAMP_B1_075.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B6_120"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B6_120"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B6_120"	"SAMP_B1_064.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B7_113"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B7_113"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B7_113"	"SAMP_B1_060.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B8_115"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B8_115"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B8_115"	"SAMP_B1_044.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B9_119"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B9_119"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B9_119"	"SAMP_B1_031.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAMP_B10_116"	"Extraction"	"Dried samples resuspended in derivatizing agent"	"methoximation/sylilation"	"SAMP_B10_116"	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SAMP_B10_116"	"SAMP_B1_028.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_tcs-mtcs_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
