"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MB-1"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-1"	"Mb-1_569-18053.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-2"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-2"	"Mb-2_569-18055.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-3"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-3"	"Mb-3_569-18057.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-4"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-4"	"Mb-4_569-18059.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-5"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-5"	"Mb-5_569-18061.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-6"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-6"	"Mb-6_569-18063.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-7"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-7"	"Mb-7_569-18065.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MB-8"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MB-8"	"Mb-8_569-18067.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MG-1"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MG-1"	"Mg-1_569-18054.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
"MG-2"	"Extraction"	"Dried sample in methoxyamine chloride"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MG-2"	"Mg-2_569-18056.CDF"	"Data transformation"	"Median normalisation"	""	"Metabolite identification"	"GCMS_MBvsMG_Log_transformed_median_data"	"m_mtbls535_GC_mass_spectrometry_v2_maf.tsv"
