"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"7H_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"7H_2"	"7H_2.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"7H_2.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"8H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"8H_1"	"8H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"8H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"9H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"9H_1"	"9H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"9H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"10H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"10H_1"	"10H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"10H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"11H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"11H_1"	"11H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"11H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"12H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"12H_1"	"12H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"12H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"25H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"25H_1"	"25H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"25H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"26H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"26H_1"	"26H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"26H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"27H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"27H_1"	"27H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"27H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
"28H_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890 GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m EZGuard (Varian)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"28H_1"	"28H_1.CDF"	"Data transformation"	"13C host 12c samples batch.xlsx"	"28H_1.CDF"	"Metabolite identification"	""	"m_mtbls538_coral_mass_spectrometry_v2_maf.tsv"
