"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Stable isotope]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stress duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Symbiotic partner]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"7S_1"	"12C"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Dark"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"8S_1"	"12C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Dark"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"9S_1"	"12C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Dark"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"10S_1"	"13C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Dark"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"11S_1"	"13C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Dark"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"12S_1"	"13C "	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Dark "	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"25S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"26S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"27S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"28S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"29S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"30S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"31S_1"	"12C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"32S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"33S_1"	"12C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"34S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"35S_1"	"12C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"36S_1"	"12C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"37S_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"38S_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"39S_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"40S_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"41S_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"42S_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"43S_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"44S_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"45S_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"46S_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"47S_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"48S_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"97S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"1"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"98S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"2"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"99S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"3"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"100S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"4"	""	""
"Sym"	"Symbiodinium sp. ex Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/280471"	"endometabolome"	""	""	"Sample collection"	"101S_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"algae"	""	""	"Control aquarium"	""	""	"5"	""	""
