"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Sample01"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample01"	"H08AS12_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample02"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample02"	"H16AS02_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample03"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample03"	"H16AS06_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample04"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample04"	"H25AS03_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample05"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample05"	"H08NC14_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample06"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample06"	"H08NC11_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample07"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample07"	"H16AS01_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample08"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample08"	"H16AS07_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample09"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample09"	"H25AS02_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
"Sample10"	"Extraction"	""	""	"NMR sample"	"4 mm standard MAS rotor"	""	""	"D2O"	""	""	"7"	"278"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 700 MHz spectrometer"	""	""	"4 mm TXI HR-MAS Z-GRD"	""	""	"128"	"1D CPMG with presaturation (cpmgpr1d)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Sample10"	"H25AS11_p1.cnx"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls539_MAS_NMR_spectroscopy_v2_maf.tsv"
