"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Sample01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample01"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample02"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample03"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample04"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample05"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample06"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample07"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample08"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample09"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample10"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample11"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample12"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample13"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample14"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample15"	"Normal diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample16"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample17"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample18"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample19"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample20"	"Atherogenic diet"	""	""	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample21"	"Atherogenic diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample22"	"Atherogenic diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample23"	"Normal diet"	""	""	"25"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Sample24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Sample24"	"Normal diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
