"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Salt_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_08d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_12d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_16d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_14"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_21"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_28"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_35"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_41"
"rg1"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_47"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_15"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_22"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_29"
"rg2"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"Sample collection"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"6320if_36"
