"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Oxygen Level]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell or Tumour]"	"Term Source REF"	"Term Accession Number"
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"1"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"2"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"3"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"4"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"5"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"6"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"7"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"8"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"9"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"10"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"11"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"12"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"13"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"14"	"21.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"15"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"16"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
"SK-N-AS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-AS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002827"	"Sample collection"	"17"	"1.0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cell"	""	""
