"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BB_1"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_1"	"T3_BB_1.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_2"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_2"	"T3_BB_2.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_3"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_3"	"T3_BB_3.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_4"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_4"	"T3_BB_4.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_5"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_5"	"T3_BB_5.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_6"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_6"	"T3_BB_6.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_7"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_7"	"T3_BB_7.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_8"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_8"	"T3_BB_8.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_9"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_9"	"T3_BB_9.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_10"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_10"	"T3_BB_10.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_11"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_11"	"T3_BB_11.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_12"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_12"	"T3_BB_12.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
"BB_13"	"Extraction"	"50 µl ultrapure water"	""	""	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)"	"reverse phase"	""	"Benign serum"	""	""	"Mass spectrometry"	"negative "	"MRM"	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"BB_13"	"T3_BB_13.mzML"	"Data transformation"	""	""	""	""	"m_mtbls552_Serum_LCMS_v2_maf.tsv"
