"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1_Rep1_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1_Rep1_NEG"	"1_Rep1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1_Rep2_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1_Rep2_NEG"	"1_Rep2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"2_Rep1_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"2_Rep1_NEG"	"2_Rep1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"2_Rep2_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"2_Rep2_NEG"	"2_Rep2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"3_Rep1_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"3_Rep1_NEG"	"3_Rep1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"3_Rep2_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"3_Rep2_NEG"	"3_Rep2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"4_Rep1_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"4_Rep1_NEG"	"4_Rep1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"4_Rep2_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"4_Rep2_NEG"	"4_Rep2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"5_Rep1_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"5_Rep1_NEG"	"5_Rep1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"5_Rep2_NEG"	"Extraction"	"100 µl of 5% MeOH, 0.1% formic acid and 94.9% deionized MilliQ water"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore aQ C18 Polar Endcapped (2.7 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"70-900"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"5_Rep2_NEG"	"5_Rep2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ms_csf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
