"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Development stage]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"Fruit"	""	""	"Sample collection"	"S8.1.1"	"Seed"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S8.2.1"	"Seed"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S8.3.1"	"Seed"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S8.123.2"	"Seed"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S12.1.1"	"Seed"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S12.1.2"	"Seed"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S12.2.1"	"Seed"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S12.2.2"	"Seed"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S12.3.1"	"Seed"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S12.3.2"	"Seed"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S20.1.1"	"Seed"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S20.1.2"	"Seed"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S20.2.1"	"Seed"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S20.2.2"	"Seed"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S20.3.1"	"Seed"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S20.3.2"	"Seed"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S35.1.1"	"Seed"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S35.1.2"	"Seed"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S35.2.1"	"Seed"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S35.2.2"	"Seed"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"S35.3.1"	"Seed"	""	""	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
