"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"4W-1"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-1"	"4W-1.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-2"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-2"	"4W-2.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-3"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-3"	"4W-3.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-4"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-4"	"4W-4.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-5"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-5"	"4W-5.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-6"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-6"	"4W-6.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-7"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-7"	"4W-7.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"4W-8"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"4W-8"	"4W-8.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"12W-1"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"12W-1"	"12W-1.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
"12W-2"	"Extraction"	"DCM:MeOH (1:1, v/v) "	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Kinetex C18 100 Å (1.7 µm, 2.1 mm x 100 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"AB SCIEX TripleTOF 6600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"12W-2"	"12W-2.wiff.scan"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls562_POS_mass_spectrometry_v2_maf.tsv"
