"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diagnosis]"	"Term Source REF"	"Term Accession Number"
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"1"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"2"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"3"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"4"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"5"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"6"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"7"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"8"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"9"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"10"	"OA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"11"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"12"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"13"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"14"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"15"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"16"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"17"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"18"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"19"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"20"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"21"	"RA"	""	""
"Synovial Fluid"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"22"	"RA"	""	""
