"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Pro_1"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_1"	"mtab_chisholm_tsq_Procc_PL1_49.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_2"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_2"	"mtab_chisholm_tsq_Procc_PL1_46.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_3"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_3"	"mtab_chisholm_tsq_Procc_PL1_47.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_4"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_4"	"mtab_chisholm_tsq_Procc_PL1_44.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_5"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_5"	"mtab_chisholm_tsq_ProccR1_60.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_6"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_6"	"mtab_chisholm_tsq_ProccR1_111.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_7"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_7"	"mtab_chisholm_tsq_ProccR1_53.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_8"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_8"	"mtab_chisholm_tsq_ProccR1_105.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_9"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_9"	"mtab_chisholm_tsq_ProccR1_66.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
"Pro_10"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 µg/ml deuterated biotin"	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"SRM"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Pro_10"	"mtab_chisholm_tsq_ProccR1_103.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls567_NEG_LC_mass_spectrometry_v2_maf.tsv"
