"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"
"Spombe_cwh43_wt_VE"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_wt_VE_POS"	"wt"	""	""	"VE"	""	""
"Spombe_cwh43_wt_VE"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_wt_VE_NEG"	"wt"	""	""	"VE"	""	""
"Spombe_cwh43_G753R_VE"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_G753R_VE_POS"	"G753R"	""	""	"VE"	""	""
"Spombe_cwh43_G753R_VE"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_G753R_VE_NEG"	"G753R"	""	""	"VE"	""	""
"Spombe_cwh43_wt_low_glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_wt_low_glucose_POS"	"wt"	""	""	"low glucose"	""	""
"Spombe_cwh43_wt_low_glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_wt_low_glucose_NEG"	"wt"	""	""	"low glucose"	""	""
"Spombe_cwh43_G753R_low_glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_G753R_low_glucose_POS"	"G753R"	""	""	"low glucose"	""	""
"Spombe_cwh43_G753R_low_glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_G753R_low_glucose_NEG"	"G753R"	""	""	"low glucose"	""	""
"Spombe_cwh43_wt_N_starvation"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_wt_N_starvation_POS"	"wt"	""	""	"nitrogen starvation"	""	""
"Spombe_cwh43_wt_N_starvation"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_wt_N_starvation_NEG"	"wt"	""	""	"nitrogen starvation"	""	""
"Spombe_cwh43_G753R_N_starvation"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_G753R_N_starvation_POS"	"G753R"	""	""	"nitrogen starvation"	""	""
"Spombe_cwh43_G753R_N_starvation"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cwh43_G753R_N_starvation_NEG"	"G753R"	""	""	"nitrogen starvation"	""	""
