"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Technical Replicates]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extract Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant Growth Regulator]"	"Term Source REF"	"Term Accession Number"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro WHITE 1"	"1"	""	""	"None"	""	""	"None"	""	""
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro WHITE 2"	"2"	""	""	"None"	""	""	"None"	""	""
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro WHITE 3"	"3"	""	""	"None"	""	""	"None"	""	""
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro GA3 HE 1"	"1"	""	""	"Hydrophilic"	""	""	"gibberellin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_24250"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro GA3 HE 2"	"2"	""	""	"Hydrophilic"	""	""	"gibberellin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_24250"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro GA3 HE 3"	"3"	""	""	"Hydrophilic"	""	""	"gibberellin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_24250"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro BAP HE 1"	"1"	""	""	"Hydrophilic"	""	""	"benzylaminopurine"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C480551"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro BAP HE 2"	"2"	""	""	"Hydrophilic"	""	""	"benzylaminopurine"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C480551"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro BAP HE 3"	"3"	""	""	"Hydrophilic"	""	""	"benzylaminopurine"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C480551"
"Cunila menthoides in vitro"	"Cunila"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/392618"	"Cunila menthoides Benth. (Lamiaceae)"	""	""	"leaf and stem"	""	""	"Sample collection"	"CM in vitro MS0 HE 1"	"1"	""	""	"Hydrophilic"	""	""	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
