"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple Sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking]"	"Term Source REF"	"Term Accession Number"
"Homogenate_C_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_1p"	"Apple1"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_2p"	"Apple2"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_3p"	"Apple3"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_4p"	"Apple4"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_5p"	"Apple5"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_6p"	"Apple6"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_7p"	"Apple7"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_8p"	"Apple8"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_9p"	"Apple9"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_10p"	"Apple10"	""	""	"CONTROL"	""	""
