"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample stabilisation]"	"Parameter Value[Sample stabilisation other]"	"Parameter Value[Tissue modification]"	"Parameter Value[Tissue modification other]"	"Parameter Value[MALDI matrix]"	"Parameter Value[MALDI matrix other]"	"Parameter Value[MALDI matrix application]"	"Parameter Value[MALDI matrix application other]"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Resolving power]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument manufacturer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Target material]"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Pixel size x]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Pixel size y]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Max count of pixel x]"	"Parameter Value[Max count of pixel y]"	"Parameter Value[Max dimension x]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Max dimension y]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Inlet type]"	"Parameter Value[Detector]"	"Parameter Value[Detector mode]"	"Parameter Value[Native spectrum identifier format]"	"Parameter Value[Data file content]"	"Parameter Value[Spectrum representation]"	"Parameter Value[Raw data file format]"	"Parameter Value[Instrument software]"	"Parameter Value[Instrument software version]"	"Parameter Value[Line scan direction]"	"Parameter Value[Linescan sequence]"	"Parameter Value[Scan pattern]"	"Parameter Value[Scan type]"	"Parameter Value[Number of scans]"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Parameter Value[Low-res image]"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Data Transformation software]"	"Parameter Value[Data Transformation software version]"	"Parameter Value[Metabolite database]"	"Parameter Value[Metabolite database other]"	"Parameter Value[Alpha-tester]"	"Data Transformation Name"	"Metabolite Assignment File"
"CID_MSMS_437"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_437"	"CID_MSMS_437.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_697"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_697"	"CID_MSMS_697.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_780"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_780"	"CID_MSMS_780.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_806"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_806"	"CID_MSMS_806.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_810"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_810"	"CID_MSMS_810.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_844"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_844"	"CID_MSMS_844.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_Validation_1"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_Validation_1"	"CID_MSMS_Validation_1.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_Validation_2"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_Validation_2"	"CID_MSMS_Validation_2.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_Validation_3"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_Validation_3"	"CID_MSMS_Validation_3.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
"CID_MSMS_Validation_4"	"Preparation"	"Delta Technologies ITO one surface glass slide"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	""	""	""	""	"Thermo Scientific Orbitrap Elite"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"orbitrap"	"MS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CID_MSMS_Validation_4"	"CID_MSMS_Validation_4.raw"	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""	""	""	""	""	""
