"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Species]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"neg_1"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"neg_2"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"neg_3"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"pos_1"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"pos_2"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"pos_3"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"brain_748"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"brain_776"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"brain_782"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"brain_792"
"MSI tissue_brain"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"brain_810"
"MSI tissue_intestine"	"Sus scrofa domesticus"	"ERO"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"Göttingen Minipig"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000943"	"intestine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000648"	"Sample Collection"	"intestine_neg1"
"MSI tissue_intestine"	"Sus scrofa domesticus"	"ERO"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"Göttingen Minipig"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000943"	"intestine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000648"	"Sample Collection"	"intestine_neg2"
"MSI tissue_intestine"	"Sus scrofa domesticus"	"ERO"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"Göttingen Minipig"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000943"	"intestine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000648"	"Sample Collection"	"intestine_neg3"
"MSI tissue_intestine"	"Sus scrofa domesticus"	"ERO"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"Göttingen Minipig"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000943"	"intestine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000648"	"Sample Collection"	"intestine_pos1"
"MSI tissue_intestine"	"Sus scrofa domesticus"	"ERO"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"Göttingen Minipig"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000943"	"intestine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000648"	"Sample Collection"	"intestine_pos2"
"MSI tissue_intestine"	"Sus scrofa domesticus"	"ERO"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"Göttingen Minipig"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000943"	"intestine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000648"	"Sample Collection"	"intestine_pos3"
"PA lipid standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample Collection"	"PA lipid standard"
"PC lipid standard"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample Collection"	"PC lipid standard"
