"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"27"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"27"	"27_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"72"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"72"	"72_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"112"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"112"	"112_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"117"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"117"	"117_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"157"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"157"	"157_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"161"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"161"	"161_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"170"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"170"	"170_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"179"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"179"	"179_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"194"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"194"	"194_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"199"	"Extraction"	"chloroform:methanol (2:1, v/v) "	"none"	"NA"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"NA"	"NA"	""	""	"Mass spectrometry"	"positive"	"100-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"199"	"199_1_1.mzML"	"Data transformation"	"Internal Standard"	"Derived_Spectral_data_preprocessed.xlsx"	"Metabolite identification"	"LogTransformed and Imputed"	"m_dipp_tempere_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
