"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental group]"	"Term Source REF"	"Term Accession Number"
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl1_pos"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl2_pos"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl3_pos"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl4_pos"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl5_pos"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab1_pos"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab2_pos"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab3_pos"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab4_pos"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab5_pos"	"Ab"	""	""
