"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental group]"	"Term Source REF"	"Term Accession Number"
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl1"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl2"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl3"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl4"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ctrl5"	"Ctrl"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab1"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab2"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab3"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab4"	"Ab"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab5"	"Ab"	""	""
