"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Sample1"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample1"	"1"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample2"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample2"	"2"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample3"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample3"	"3"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample4"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample4"	"4"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample5"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample5"	"5"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample6"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample6"	"6"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample7"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample7"	"7"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample8"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample8"	"8"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample9"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample9"	"9"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
"Sample10"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"3 mm SampleJet"	""	""	"0.05 M phosphate buffered D2O"	""	""	"7.0"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"256"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"Sample10"	"10"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls640_metabolite_profiling_NMR_spectroscopy_v2_maf"
