"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"QC1"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"12_QC1"	"12_QC1.zip"	"Data transformation"	"Total sum"	"12_QC1.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.49"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"22_15.2695.49"	"22_15.2695.49.zip"	"Data transformation"	"Total sum"	"22_15.2695.49.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.12"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"32_15.2695.12"	"32_15.2695.12.zip"	"Data transformation"	"Total sum"	"32_15.2695.12.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.59"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"42_15.2695.59"	"42_15.2695.59.zip"	"Data transformation"	"Total sum"	"42_15.2695.59.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.53"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"52_15.2695.53"	"52_15.2695.53.zip"	"Data transformation"	"Total sum"	"52_15.2695.53.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"QC2"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"72_QC2"	"72_QC2.zip"	"Data transformation"	"Total sum"	"72_QC2.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.44"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"82_15.2695.44"	"82_15.2695.44.zip"	"Data transformation"	"Total sum"	"82_15.2695.44.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.26"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"92_15.2695.26"	"92_15.2695.26.zip"	"Data transformation"	"Total sum"	"92_15.2695.26.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.18"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"112_15.2695.18"	"112_15.2695.18.zip"	"Data transformation"	"Total sum"	"112_15.2695.18.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"QC3"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"132_QC3"	"132_QC3.zip"	"Data transformation"	"Total sum"	"132_QC3.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.38"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"142_15.2695.38"	"142_15.2695.38.zip"	"Data transformation"	"Total sum"	"142_15.2695.38.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.46"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"172_15.2695.46"	"172_15.2695.46.zip"	"Data transformation"	"Total sum"	"172_15.2695.46.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
"15.2695.63"	"Extraction"	"CHCl3/Methanol/Water"	""	"NMR sample"	"5 mm short"	""	""	"CDCL3"	""	""	""	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm CPQCI 1H/19F-13C/15N/D Z-GRD"	""	""	"48"	"2D Interleaved Ultrafast COSY (iufcosy)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus3.txt"	"NMR assay"	"182_15.2695.63"	"182_15.2695.63.zip"	"Data transformation"	"Total sum"	"182_15.2695.63.zip"	"Metabolite identification"	""	"m_mtbls643_NMR_spectroscopy_v2_maf.tsv"
