"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country of origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Population ID]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MFFGC accession no.]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Type]"	"Term Source REF"	"Term Accession Number"
"C18_Neg_Batch_1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"blank"	"blank"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"blank"	"blank"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 1"	"Control 1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 1"	"Control 1"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 1"	"Control 1"	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 1"	"Control 1"	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 1"	"Control 1"	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 1"	"Control 1"	""	""	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 2"	"Control 2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 2"	"Control 2"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 2"	"Control 2"	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 2"	"Control 2"	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Control 2"	"Control 2"	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
