"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"0CKA"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0CKA"	"0CKA.fid.zip"	"Data transformation"	"0CKA"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0CKB"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0CKB"	"0CKB.fid.zip"	"Data transformation"	"0CKB"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0NKA"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0NKA"	"0NKA.fid.zip"	"Data transformation"	"0NKA"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0NKB"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0NKB"	"0NKB.fid.zip"	"Data transformation"	"0NKB"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0MKA"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0MKA"	"0MKA.fid.zip"	"Data transformation"	"0MKA"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0MKB"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0MKB"	"0MKB.fid.zip"	"Data transformation"	"0MKB"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0SKA"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0SKA"	"0SKA.fid.zip"	"Data transformation"	"0SKA"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"0SKB"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"0SKB"	"0SKB.fid.zip"	"Data transformation"	"0SKB"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"2CKA"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"2CKA"	"2CKA.fid.zip"	"Data transformation"	"2CKA"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"2CKB"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	"6.0"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm AutoX DB"	""	""	"64"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"2CKB"	"2CKB.fid.zip"	"Data transformation"	"2CKB"	""	"Metabolite identification"	""	"m_jeotgal_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
