"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Incubation Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell Number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[NS]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Neutrophil Activation]"	"Term Source REF"	"Term Accession Number"
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"2"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"3"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"4"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"5"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"6"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"7"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"8"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"9"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"10"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6000000"	""	""	"256"	""	""	"no"	""	""
