"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"S1"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S1"	"S1.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S2"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S2"	"S2.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S3"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S3"	"S3.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S4"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S4"	"S4.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S5"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S5"	"S5.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S6"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S6"	"S6.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S7"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S7"	"S7.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S8"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S8"	"S8.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S9"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S9"	"S9.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S10"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S10"	"S10.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S11"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S11"	"S11.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S12"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S12"	"S12.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S13"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S13"	"S13.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S14"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S14"	"S14.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
"S15"	"Extraction"	""	"alkylation"	"N/A"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	"Bromobimane"	""	""	"Mass spectrometry"	"positive"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S15"	"S15.raw"	"Data transformation"	"Normalization file.xlsx"	""	"Metabolite identification"	""	"m_mtbls661_thiols-mycobacteria_mass_spectrometry_v2_maf.tsv"
