"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time in nitrogen starvation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"0 min_1"	"0"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"0 min_2"	"0"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"0 min_3"	"0"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"15 min_1"	"15"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"15 min_2"	"15"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"15 min_3"	"15"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30 min_1"	"30"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30 min_2"	"30"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"30 min_3"	"30"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"60 min_1"	"60"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"60 min_2"	"60"	"minute"	"UO"	""
"G0 Cell Unit, OIST"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"60 min_3"	"60"	"minute"	"UO"	""
