"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"QC_1"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_1"	"20170223_QC_11_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_2"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_2"	"20170223_QC_12_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_3"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_3"	"20170223_QC_13_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_4"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_4"	"20170223_QC_14_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_5"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_5"	"20170223_QC_10_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_16"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_16"	"20170223_QC_06_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_27"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_27"	"20170223_QC_07_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_28"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_28"	"20170223_QC_08_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"QC_29"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"QC_29"	"20170223_QC_09_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
"AF_6"	"Extraction"	"800 μl methanol/ water (1:1 ratio)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777C Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"AF_6"	"P1607410001-5_POS.raw"	"Data transformation"	"Female-Metabolism-data_normalized.csv"	""	"Metabolite identification"	""	"m_mtbls673_female_mass_spectrometry_v2_maf.tsv"
