"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Sample3"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample3"	"KIT3-0-8115_1015571451_01_0_1_1_01_10000001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample4"	"KIT3-0-8115_1015571451_01_0_1_2_01_10000001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample5"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample5"	"KIT3-0-8115_1015571451_01_0_1_3_01_10000001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample6"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample6"	"KIT3-0-8115_1015571451_02_0_1_1_16_437345.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample7"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample7"	"KIT3-0-8115_1015571451_03_0_1_1_00_1015570655.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample8"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample8"	"KIT3-0-8115_1015571451_04_0_1_1_00_1015570738.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample9"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample9"	"KIT3-0-8115_1015571451_05_0_1_1_00_1015570811.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample10"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample10"	"KIT3-0-8115_1015571451_06_0_1_1_00_1015570897.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample11"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample11"	"KIT3-0-8115_1015571451_07_0_1_1_00_1015570970.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
"Sample12"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"MRM"	"Waters Xevo TQ-S"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Sample12"	"KIT3-0-8115_1015571451_08_0_1_1_00_1015571053.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls674_mass_spectrometry_v2_maf.tsv"
