"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N1 Rep 1"	"1"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N1 Rep 2"	"2"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N1 Rep 3"	"3"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N2 Rep 1"	"1"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N2 Rep 2"	"2"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N2 Rep 3"	"3"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N3 Rep 1"	"1"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N3 Rep 2"	"2"	""	""
"Dermal_talk outer layer"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"flower stalk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002244"	"Sample collection"	"Dermal N3 Rep 3"	"3"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC1 Rep 1"	"1"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC1 Rep 2"	"2"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC1 Rep 3"	"3"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC2 Rep 1"	"1"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC2 Rep 2"	"2"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC2 Rep 3"	"3"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC3 Rep 1"	"1"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC3 Rep 2"	"2"	""	""
"Seed Head"	"Sorghum bicolor"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4558"	"seed vessel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004209"	"Sample collection"	"Seed Head AC3 Rep 3"	"3"	""	""
