"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"fat_CW-f10_H1920"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f10_H1920"	"lcms_positive_fat_CW-f10_H1920.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f11_H1921"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f11_H1921"	"lcms_positive_fat_CW-f11_H1921.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f12_H1928"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f12_H1928"	"lcms_positive_fat_CW-f12_H1928.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f13_H1930"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f13_H1930"	"lcms_positive_fat_CW-f13_H1930.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f14_H1931"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f14_H1931"	"lcms_positive_fat_CW-f14_H1931.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f15_H1933"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f15_H1933"	"lcms_positive_fat_CW-f15_H1933.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f16_H1937"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f16_H1937"	"lcms_positive_fat_CW-f16_H1937.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f17_H1939"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f17_H1939"	"lcms_positive_fat_CW-f17_H1939.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f18_H1943"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f18_H1943"	"lcms_positive_fat_CW-f18_H1943.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"fat_CW-f19_H1948"	"Extraction"	"2/1 (v/v) CHCl3:methanol (including D4-Cholic Acid) and water (including 13C9-phenylalanine) "	"none"	"N/A"	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)"	"reverse phase"	"ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)"	""	""	"N/A"	"No Label"	""	""	"Mass spectrometry"	"positive"	"70-1700"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"fat_CW-f19_H1948"	"lcms_positive_fat_CW-f19_H1948.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_azm_scilife_exodiab_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
