"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f10_H1920"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f11_H1921"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f12_H1928"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f13_H1930"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f14_H1931"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f15_H1933"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f16_H1937"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f17_H1939"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f18_H1943"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f19_H1948"
