"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Timepoint]"	"Term Source REF"	"Term Accession Number"
"Blank"	"blank"	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"Blank"	"N/A"	""	""
"PBS"	"reference compound"	"BAO"	""	"phosphate buffered saline"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000012"	"Sample collection"	"PBS"	"N/A"	""	""
"p180_QC1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"p180_QC1"	"N/A"	""	""
"p180_QC2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"p180_QC2"	"N/A"	""	""
"p180_QC3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"p180_QC3"	"N/A"	""	""
"2142008"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2142008"	"3"	""	""
"2153953"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2153953"	"4"	""	""
"2195437"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195437"	"7"	""	""
"2195440"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195440"	"7"	""	""
"2119304"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119304"	"1"	""	""
"E03_RWR_T02_040214"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E03_RWR_T02_040214"	"2"	""	""
"2195438"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195438"	"7"	""	""
"2137919"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2137919"	"2"	""	""
"2119305"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119305"	"1"	""	""
"2137920"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2137920"	"2"	""	""
"2119306"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119306"	"1"	""	""
"2144077"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2144077"	"N/A"	""	""
"2119303"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2119303"	"1"	""	""
"2139058"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2139058"	"2"	""	""
"2195439"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195439"	"7"	""	""
"E03_RWR_T01_030614"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E03_RWR_T01_030614"	"1"	""	""
"2151730"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2151730"	"4"	""	""
"2137921"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2137921"	"2"	""	""
"2148974"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2148974"	"4"	""	""
"p180 Cal5"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal5"	"N/A"	""	""
"p180 Cal6"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal6"	"N/A"	""	""
"p180 Cal7"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal7"	"N/A"	""	""
"p180 Cal1"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal1"	"N/A"	""	""
"p180 Cal2"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal2"	"N/A"	""	""
"p180 Cal3"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal3"	"N/A"	""	""
"p180 Cal4"	"reference compound"	"BAO"	""	"mixture"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"p180 Cal4"	"N/A"	""	""
