"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"DevSet1_Rep1"	"Extraction"	""	"10"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"10"	"10"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet2_Rep1"	"Extraction"	""	"20"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"20"	"20"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet3_Rep1"	"Extraction"	""	"30"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"30"	"30"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet4_Rep1"	"Extraction"	""	"40"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"40"	"40"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet5_Rep1"	"Extraction"	""	"50"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"50"	"50"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet6_Rep1"	"Extraction"	""	"60"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"60"	"60"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet1_Rep2"	"Extraction"	""	"70"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"70"	"70"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet2_Rep2"	"Extraction"	""	"80"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"80"	"80"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet3_Rep2"	"Extraction"	""	"90"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"90"	"90"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
"DevSet4_Rep2"	"Extraction"	""	"100"	"NMR sample"	"5 mm standard"	""	""	"water"	"OBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7.5"	"300"	"kelvin:K"	"UO"	""	""	""	""	""	"NMR spectroscopy"	"Bruker AVANCE III HD 600 MHz spectrometer"	""	""	"5 mm BBI 1H/D-BB Z-GRD"	""	""	"32"	"noesygppr1d"	"600.74"	"megaHertz:MHz"	"UO"	""	"acqus"	"NMR assay"	"100"	"100"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls694_metabolite_profiling_NMR_spectroscopy_maf.tsv"
