"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dilution]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD01"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD02"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD03"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD04"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD05"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD06"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD07"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD08"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD09"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD10"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD56"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD55"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD54"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD53"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD52"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD51"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD50"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD49"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD48"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD47"	"1"	"%"	""	""
"Study Pool"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"B1SRD11"	"10"	"%"	""	""
