"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[flowering period]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[LED PPF]"	"Unit"	"Term Source REF"	"Term Accession Number"
"F_037_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_037_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_037_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_037_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_040_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_040_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_040_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_040_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_043_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_043_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_043_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_043_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_046_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_046_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_046_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_046_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_049_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_049_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_049_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_049_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_052_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_052_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_055_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_055_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_058_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_058_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_058_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_058_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_061_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_061_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_061_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_061_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_064_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_064_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_064_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_064_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_067_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_067_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_067_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_067_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_070_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_070_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_070_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_070_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_073_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_073_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_073_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_073_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_076_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_076_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_076_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_076_old_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_079_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_079_1"	"2"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
