"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"JK01"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK01"	"JK01.raw"	"Data transformation"	""	"JK01.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK02"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK02"	"JK02.raw"	"Data transformation"	""	"JK02.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK03"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK03"	"JK03.raw"	"Data transformation"	""	"JK03.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK04"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK04"	"JK04.raw"	"Data transformation"	""	"JK04.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK05"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK05"	"JK05.raw"	"Data transformation"	""	"JK05.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK06"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK06"	"JK06.raw"	"Data transformation"	""	"JK06.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK07"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK07"	"JK07.raw"	"Data transformation"	""	"JK07.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK08"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK08"	"JK08.raw"	"Data transformation"	""	"JK08.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK09"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK09"	"JK09.raw"	"Data transformation"	""	"JK09.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"JK10"	"Extraction"	"chloroform:methanol:water, 1:3:1 volume ratio"	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"JK10"	"JK10.raw"	"Data transformation"	""	"JK10.mzXML"	"Metabolite identification"	""	"m_glycerol_trypanosoma_brucei_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
