"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"AMINOCRET_1"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_1"	"cm_GP01.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_2"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_2"	"cm_FY02.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_3"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_3"	"cm_MKT03.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_4"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_4"	"cm_Ctrl04.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_5"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_5"	"cm_GP05.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_6"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_6"	"cm_FY06.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_7"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_7"	"cm_MKT07.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_8"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_8"	"cm_FY08.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_9"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_9"	"cm_Ctrl09.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_10"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_10"	"cm_Ctrl10.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_11"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_11"	"cm_MKT11.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_12"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_12"	"cm_GP12v2.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_13"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_13"	"cm_MKT13.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_14"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_14"	"cm_FY14.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_15"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_15"	"cm_Ctrl15.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"AMINOCRET_17"	"Extraction"	"chloroform/methanol acqueous phase extraction"	""	"NMR sample"	"borosilicate tube (800 MHz rated)"	""	""	"0.15 M phosphate buffered D2O"	""	""	"6.6"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 800 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"96"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"18.8"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus"	"NMR assay"	"AMINOCRET_17"	"cm_GP17.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_gp_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
