"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[diet]"	"Term Source REF"	"Term Accession Number"
"blank"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091702"	"blank"	""	""	"blank"	""	""
"Alstonville 1:2 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091703"	"Alstonville"	""	""	"2 P:C"	"1"	""
"Alstonville 1:2 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091704"	"Alstonville"	""	""	"2 P:C"	"1"	""
"Alstonville 1:2 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091705"	"Alstonville"	""	""	"2 P:C"	"1"	""
"Alstonville 1:2 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091706"	"Alstonville"	""	""	"2 P:C"	"1"	""
"Alstonville 1:2 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091707"	"Alstonville"	""	""	"2 P:C"	"1"	""
"Alstonville 1:16 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091708"	"Alstonville"	""	""	"16 P:C"	"1"	""
"Alstonville 1:16 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091709"	"Alstonville"	""	""	"16 P:C"	"1"	""
"Alstonville 1:16 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091710"	"Alstonville"	""	""	"16 P:C"	"1"	""
"Alstonville 1:16 PC"	"Drosophila melanogaster"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7227"	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"	"Sample collection"	"2015091711"	"Alstonville"	""	""	"16 P:C"	"1"	""
