"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Acquisition date]"	"Term Source REF"	"Term Accession Number"
"AAStd"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_01_AAStd"	"20090609_01_AAStd.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"Blank"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_02_Blank"	"20090609_02_Blank.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"QC"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_03_QC"	"20090609_03_QC.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R077"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_04_R077_RIN_40"	"20090609_04_R077_RIN_40.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R085"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_05_R085_NOR_40"	"20090609_05_R085_NOR_40.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R028"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_06_R028_AC+_40"	"20090609_06_R028_AC+_40.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R085"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_07_R085_NOR_40"	"20090609_07_R085_NOR_40.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R073"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_08_R073_RIN_48"	"20090609_08_R073_RIN_48.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R031"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_09_R031_AC+_48"	"20090609_09_R031_AC+_48.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R081"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_10_R081_NOR_48"	"20090609_10_R081_NOR_48.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
"R037"	"Extraction"	""	""	"Polar Extract"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"95-900"	"Thermo Scientific LTQ XL linear ion trap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	""	"20090609_11_R037_CNR_48"	"20090609_11_R037_CNR_48.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""	"20090609"	""	""
