"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental Replication]"	"Factor Value[Harvesting Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Primary Phototrophic cyanobacteria]"	"Term Source REF"	"Term Accession Number"
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A7C_2"	"C_2"	"7"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A7C_1"	"C_1"	"7"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A7B_2"	"B_2"	"7"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A7B_1"	"B_1"	"7"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A7A_2"	"A_2"	"7"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A7A_1"	"A_1"	"7"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A28A_1"	"A_1"	"28"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A28A_2"	"A_2"	"28"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A28B_1"	"B_1"	"28"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
"UCC-A"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_A28B_2"	"B_2"	"28"	"day"	"UO"	""	"Phormidesmis priestleyi str. ANA (ACL_P2D9)"	""	""
