"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Knockout]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Group]"	"Term Source REF"	"Term Accession Number"
"360"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"360 WT"	"Lpin1fEx3-4/fEx3-4"	""	""	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"
"361"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"361 WT"	"Lpin1fEx3-4/fEx3-4"	""	""	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"
"382"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"382 WT"	"Lpin1fEx3-4/fEx3-4"	""	""	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"
"386"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"386 WT"	"Lpin1fEx3-4/fEx3-4"	""	""	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"
"364"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"364 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
"365"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"365 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
"366"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"366 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
"381"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"381 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
"383"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"383 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
"384"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"384 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
"385"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"gastrocnemius"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000506"	"Sample collection"	"385 KO"	"HSACre/+/Lpin1fEx3-4/fEx3-4"	""	""	"Knock-out"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22491"
