"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"PAK-1-0"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-1-0"
"PAK-2-0"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-2-0"
"PAK-3-0"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-3-0"
"PAK-4-0"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-4-0"
"PAK-5-0"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-5-0"
"PAK-1-1-C"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-1-1-C"
"PAK-2-1-C"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-2-1-C"
"PAK-3-1-C"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-3-1-C"
"PAK-4-1-C"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-4-1-C"
"PAK-5-1-C"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"P. aeruginosa PAK"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PAK-5-1-C"
