"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[location]"	"Term Source REF"	"Term Accession Number"
"Group-1.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD002"	"var. intermedia"	""	""	"Cameron Highlands"	""	""
"Group-1.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD003"	"var. intermedia"	""	""	"Cameron Highlands"	""	""
"Group-1.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD004"	"var. intermedia"	""	""	"Cameron Highlands"	""	""
"Group-1.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD005"	"var. intermedia"	""	""	"Cameron Highlands"	""	""
"Group-1.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD006"	"var. intermedia"	""	""	"Cameron Highlands"	""	""
"Group-1.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. intermedia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD007"	"var. intermedia"	""	""	"Cameron Highlands"	""	""
"Group-2.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. motleyana"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD008"	"var. motleyana"	""	""	"Kuala Terengganu"	""	""
"Group-2.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. motleyana"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD009"	"var. motleyana"	""	""	"Kuala Terengganu"	""	""
"Group-2.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. motleyana"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD010"	"var. motleyana"	""	""	"Kuala Terengganu"	""	""
"Group-2.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. motleyana"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD011"	"var. motleyana"	""	""	"Kuala Terengganu"	""	""
"Group-2.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. motleyana"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD012"	"var. motleyana"	""	""	"Kuala Terengganu"	""	""
"Group-2.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. motleyana"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD013"	"var. motleyana"	""	""	"Kuala Terengganu"	""	""
"Group-3.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD015"	"var. kunstleri"	""	""	"Kuala Terengganu"	""	""
"Group-3.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD017"	"var. kunstleri"	""	""	"Kuala Terengganu"	""	""
"Group-3.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD018"	"var. kunstleri"	""	""	"Kuala Terengganu"	""	""
"Group-3.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD019"	"var. kunstleri"	""	""	"Kuala Terengganu"	""	""
"Group-4.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD020"	"var. deltoidea"	""	""	"Kuala Terengganu"	""	""
"Group-4.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD021"	"var. deltoidea"	""	""	"Kuala Terengganu"	""	""
"Group-4.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD022"	"var. deltoidea"	""	""	"Kuala Terengganu"	""	""
"Group-4.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD023"	"var. deltoidea"	""	""	"Kuala Terengganu"	""	""
"Group-4.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD024"	"var. deltoidea"	""	""	"Kuala Terengganu"	""	""
"Group-4.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD025"	"var. deltoidea"	""	""	"Kuala Terengganu"	""	""
"Group-5.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD026"	"var. terengganu"	""	""	"Kuala Terengganu"	""	""
"Group-5.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD027"	"var. terengganu"	""	""	"Kuala Terengganu"	""	""
"Group-5.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD028"	"var. terengganu"	""	""	"Kuala Terengganu"	""	""
"Group-5.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD029"	"var. terengganu"	""	""	"Kuala Terengganu"	""	""
"Group-5.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD030"	"var. terengganu"	""	""	"Kuala Terengganu"	""	""
"Group-5.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD031"	"var. terengganu"	""	""	"Kuala Terengganu"	""	""
"Group-6.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD032"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD033"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD034"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD035"	"var. terengganu"	""	""	"Setiu"	""	""
