"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[MERS-CoV infection]"	"Term Source REF"	"Term Accession Number"
"Control-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"Control-1"	"non-infection"	""	""
"Control-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"Control-2"	"non-infection"	""	""
"Control-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"Control-3"	"non-infection"	""	""
"Control-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"Control-4"	"non-infection"	""	""
"MERS-CoV infected-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"MERS-CoV infected-1"	"infection"	""	""
"MERS-CoV infected-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"MERS-CoV infected-2"	"infection"	""	""
"MERS-CoV infected-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"MERS-CoV infected-3"	"infection"	""	""
"MERS-CoV infected-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"MERS-CoV infected-4"	"infection"	""	""
"AM580 treated-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"AM580 treated-1"	"infection and treatment"	""	""
"AM580 treated-2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"AM580 treated-2"	"infection and treatment"	""	""
"AM580 treated-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"AM580 treated-3"	"infection and treatment"	""	""
"AM580 treated-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Lung adenocarcinoma "	""	""	"Calu-3 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002750"	"Extraction"	"AM580 treated-4"	"infection and treatment"	""	""
