"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A70_2090_V_T48_P_MSMS45_P_A_12_12_2017"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_A_12_12_2017"	"A70_2090_V_T48_P_MSMS45_P_A_12_12_2017.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_B_12_12_2017_11"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_B_12_12_2017_11"	"A70_2090_V_T48_P_MSMS45_P_B_12_12_2017_11.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_C_12_12_2017_13"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_C_12_12_2017_13"	"A70_2090_V_T48_P_MSMS45_P_C_12_12_2017_13.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_D_12_12_2017_15"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_D_12_12_2017_15"	"A70_2090_V_T48_P_MSMS45_P_D_12_12_2017_15.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_17"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_17"	"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_17.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_47"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_47"	"A70_2090_V_T48_P_MSMS45_P_E_12_12_2017_47.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_F_12_12_2017_65"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_F_12_12_2017_65"	"A70_2090_V_T48_P_MSMS45_P_F_12_12_2017_65.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS55_P_G_12_12_2017_66"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS55_P_G_12_12_2017_66"	"A70_2090_V_T48_P_MSMS55_P_G_12_12_2017_66.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_H_12_12_2017_92"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_H_12_12_2017_92"	"A70_2090_V_T48_P_MSMS45_P_H_12_12_2017_92.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
"A70_2090_V_T48_P_MSMS45_P_I_23_12_2017_98"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC BEH C8 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1500"	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"A70_2090_V_T48_P_MSMS45_P_I_23_12_2017_98"	"A70_2090_V_T48_P_MSMS45_P_I_23_12_2017_98.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls767_LC_MS_MS2_v2_maf.tsv"
